,pos_adj,neg_adj,transparency,gpt2_large_reduced_135_sims_p_nm,gpt2_large_reduced_135_sims_m_np,gpt2_large_full_1280_sims_p_nm,gpt2_large_full_1280_sims_m_np,bert_large_cased_reduced_125_sims_p_nm,bert_large_cased_reduced_125_sims_m_np,bert_large_cased_full_1024_sims_p_nm,bert_large_cased_full_1024_sims_m_np,xlnet_large_cased_reduced_142_sims_p_nm,xlnet_large_cased_reduced_142_sims_m_np,xlnet_large_cased_full_1024_sims_p_nm,xlnet_large_cased_full_1024_sims_m_np,roberta_large_reduced_105_sims_p_nm,roberta_large_reduced_105_sims_m_np,roberta_large_full_1024_sims_p_nm,roberta_large_full_1024_sims_m_np
0,old,young,n,0.0336620763097818,0.08333010886199466,0.702625511717387,0.6552127856563214,0.29761273316118064,0.06793067228347716,0.8791015148925647,0.8485462731383893,0.030235044442413983,-0.03664653481058866,0.9194282829750942,0.8799903220153467,0.19464148690212824,0.1387044839824101,0.9833114037500428,0.9837873908844923
1,quiet,restless,n,-0.07853612683440514,0.07030239533300742,0.644400900050268,0.9200161897282733,-0.2387048326481307,-0.11226512716629977,0.8562855933991512,0.8565334249702978,-0.029838633466278575,0.06348565494712477,0.8938068000687545,0.9002739541366753,0.03567876230658096,-0.07017008250137713,0.9852838274330643,0.979240142536915
2,lucky,unlucky,y,0.6010092452960448,0.44669627411107227,0.9584388549196939,0.9431465023025182,-0.09791313911623956,0.2622884091179102,0.8644489678336506,0.9179399246315207,0.10509993184760125,0.0767142812476782,0.912561450465457,0.9286668161019643,0.11119825436615316,0.15808703724138262,0.9853736742640611,0.9833723476315634
3,tall,short,n,0.08720907352534868,0.07617851623137761,0.6357287220794549,0.6510100658056557,-0.07232385991977841,0.2141775763295657,0.8333097014946448,0.8912928435379173,-0.06593777583711069,-0.13399752464887116,0.9019564841797061,0.90174707135185,0.18147708208018287,0.15760435655249938,0.9788104747486417,0.9828711714472151
4,nice,nasty,n,-0.1757959474088726,0.27266176774538675,0.696574623344222,0.9530302993894967,-0.09039513029826285,-0.047273549495526535,0.855661637384128,0.8723799801633002,-0.04239741222545401,-0.014727762085258389,0.9189361975012427,0.9207773580169732,0.1603131669013247,0.23429477330208714,0.9864289156778625,0.9894923389635198
5,nice,mean,n,0.0542342068520808,-0.3088493808444628,0.6882447374494746,0.6938467723792275,-0.13911618870562337,-0.1032576524920128,0.8346861329844908,0.861366027697335,-0.2167873793900439,0.04538950090554905,0.9118604270988834,0.9288062858210739,0.02104723496567107,-0.10950053440901941,0.980349707291925,0.9826719702360747
6,kind,unkind,y,-0.0013275242604877668,0.04372069470994966,0.562237772734839,0.8778548647828303,-0.21104398107264166,0.270846387398026,0.7486036260517241,0.9447157070612497,-0.18098099189401928,-0.06728880538222848,0.8947160202534091,0.910560477243769,-0.0724888721422916,-0.09994892902609198,0.9723190281023155,0.9734728628853103
7,kind,mean,n,0.1699736960233842,-0.012121935597614097,0.6541542890311149,0.6941091527534853,0.11428234040601781,-0.11245130226612043,0.8281458195509389,0.8648609908629107,0.020678364666328886,-0.0981177493896026,0.9127645897206701,0.9097318196811316,0.13414859893209685,0.0094265560068858,0.9767498196737898,0.9823838970530198
8,kind,nasty,n,-0.3132432408187915,0.011803857086895353,0.6368188249433767,0.9189330410000027,-0.1648426782662642,-0.05806220240283211,0.8058016503915124,0.8730383077907473,-0.20107674477669524,-0.051641138114687735,0.8891370336079029,0.9053060383391662,-0.05780454443057326,-0.10938541255736367,0.9777845147100575,0.9845504441090491
9,friendly,nasty,n,-0.20954001704743241,0.1371477441810378,0.7175938765321486,0.9412925208291502,-0.0004232901323244498,-0.12625210232240636,0.8727158841639562,0.8674890101921409,-0.044320677994327706,-0.08715060261049867,0.9182271681703014,0.9319221569106004,-0.011774681329916215,0.00755147530445166,0.9802315161117146,0.9873465876656159
